type,street,city,state,zip_code,beds,total_baths,sqft,year_built,sold_price,sold_date,county,stories,parking_garage
CONDOS,450 N Arlington Ave,Reno,NV,89503,1,1,570,1974,210000,9/13/2024,Washoe,1,1
TOWNHOMES,4339 Leeward Ln,Reno,NV,89502,2,1.5,1085,1988,400000,9/13/2024,Washoe,2,2
CONDOS,17000 Wedge Pkwy,Reno,NV,89511,2,2,1348,2005,485000,9/13/2024,Washoe,3,2
SINGLE_FAMILY,7845 Las Plumas Dr,Sparks,NV,89436,3,2,1706,2000,615000,9/13/2024,Washoe,1,3
TOWNHOMES,2011 Branch Ln,Reno,NV,89509,2,2,1169,1973,400000,9/13/2024,Washoe,1,2
CONDOS,7365 Oakmont Ln,Sparks,NV,89436,2,2,1494,2022,532000,9/13/2024,Washoe,1,2
SINGLE_FAMILY,1105 Waverly Dr,Reno,NV,89519,3,2.5,2096,1998,685000,9/13/2024,Washoe,2,2
CONDOS,1200 Riverside Dr,Reno,NV,89503,2,2,1624,1972,260000,9/13/2024,Washoe,4,2
SINGLE_FAMILY,6337 Peppergrass Dr,Sparks,NV,89436,3,2.5,1485,2007,430000,9/13/2024,Washoe,2,2
SINGLE_FAMILY,6623 Marbree Dr,Sparks,NV,89436,4,3,2313,2011,650000,9/13/2024,Washoe,2,3
SINGLE_FAMILY,1495 Canyon Creek Rd,Reno,NV,89523,2,2,1101,1984,439000,9/13/2024,Washoe,1,2
SINGLE_FAMILY,9870 Kerrydale Ct,Reno,NV,89521,4,3,3617,2013,1100000,9/13/2024,Washoe,1,3
SINGLE_FAMILY,6570 David James Blvd,Sparks,NV,89436,3,2,1252,1980,455000,9/13/2024,Washoe,1,2
SINGLE_FAMILY,4220 Bismarck Dr,Reno,NV,89502,3,2,1634,1978,515000,9/13/2024,Washoe,1,2
CONDOS,785 Kingston Ln,Reno,NV,89511,2,2,960,1983,264000,9/13/2024,Washoe,1,0
TOWNHOMES,4705 Falcon Rock Ln,Sun Valley,NV,89433,3,2.5,1635,2021,399900,9/13/2024,Washoe,2,2
SINGLE_FAMILY,14220 Riata Cir,Reno,NV,89521,3,2.5,1980,1988,670000,9/13/2024,Washoe,1,3
TOWNHOMES,41 Campolina St,Reno,NV,89511,3,3.5,3361,2023,2354720,9/13/2024,Washoe,2,2
SINGLE_FAMILY,9566 Gazala Ln,Reno,NV,89521,2,2,1661,2019,705000,9/13/2024,Washoe,1,2
SINGLE_FAMILY,13895 Kewanna Trl,Reno,NV,89521,3,2,1869,1977,759000,9/13/2024,Washoe,1,3
SINGLE_FAMILY,10145 Burghley Ct,Reno,NV,89521,3,2.5,2765,2005,920000,9/13/2024,Washoe,1,3
SINGLE_FAMILY,5228 Palo Alto Cir,Sparks,NV,89436,3,2,1286,1992,490000,9/13/2024,Washoe,1,2
TOWNHOMES,15012 Malachite Ct,Reno,NV,89506,4,2.5,1587,1979,341000,9/13/2024,Washoe,2,2
CONDOS,321 Ski Way,Incline Village,NV,89451,3,2.5,1360,1970,560000,9/13/2024,Washoe,2,0
CONDOS,929 Northwood Blvd,Incline Village,NV,89451,2,2,1512,1992,1182000,9/13/2024,Washoe,2,1
SINGLE_FAMILY,1108 Saffron Woods Way,Sparks,NV,89441,4,3,2554,2018,774000,9/12/2024,Washoe,1,3
SINGLE_FAMILY,1125 Gault Way,Sparks,NV,89431,4,2,1444,1959,429900,9/13/2024,Washoe,1,1
SINGLE_FAMILY,185 Monumental Cir,Sparks,NV,89436,3,2.5,1723,1994,550000,9/13/2024,Washoe,1,2
MULTI_FAMILY,811 Washington St,Reno,NV,89503,5,3,2686,1947,661000,9/13/2024,Washoe,2,0
SINGLE_FAMILY,1831 Cosenza Dr,Sparks,NV,89434,2,2,1242,2002,450000,9/12/2024,Washoe,1,2
SINGLE_FAMILY,18483 Spicer Lake Ct,Reno,NV,89508,5,2.5,2792,2003,543000,9/12/2024,Washoe,1,3
MULTI_FAMILY,599 Crest Ln,Incline Village,NV,89451,2,2,1304,1969,980000,9/12/2024,Washoe,2,0
CONDOS,1760 Wind Ranch Rd,Reno,NV,89521,3,2.5,1760,2007,485000,9/12/2024,Washoe,2,2
SINGLE_FAMILY,10045 Sageland Way,Reno,NV,89506,3,2.5,1742,1999,445000,9/12/2024,Washoe,2,2
SINGLE_FAMILY,6690 Stone Valley Dr,Reno,NV,89523,4,3,2276,1990,812000,9/12/2024,Washoe,2,3
SINGLE_FAMILY,4811 Chert Ct,Sparks,NV,89436,3,2,1880,2015,610000,9/12/2024,Washoe,1,2
SINGLE_FAMILY,2445 Buttermere Ct,Reno,NV,89521,3,2.5,2369,2020,900000,9/12/2024,Washoe,1,3
SINGLE_FAMILY,8684 Strutter Way,Reno,NV,89506,3,2,1162,1988,400000,9/12/2024,Washoe,1,2
CONDOS,255 N Sierra St,Reno,NV,89501,2,2,1292,1978,385000,9/12/2024,Washoe,1,2
SINGLE_FAMILY,2391 Red Maple Ct,Reno,NV,89523,4,3,2504,2001,767500,9/12/2024,Washoe,2,3
SINGLE_FAMILY,4341 Rio Poco Rd,Reno,NV,89502,4,3,2128,1977,515000,9/12/2024,Washoe,2,2
SINGLE_FAMILY,7111 Fantasia Ct,Sun Valley,NV,89433,5,2.5,2273,1999,515000,9/12/2024,Washoe,2,2
SINGLE_FAMILY,1884 Rio Tinto Dr,Sparks,NV,89434,3,2,1333,1972,470000,9/12/2024,Washoe,1,2
SINGLE_FAMILY,475 Sunset Springs Ln,Sparks,NV,89441,3,3,2552,2013,740000,9/12/2024,Washoe,1,3
CONDOS,820 Oriole Way,Incline Village,NV,89451,4,3.5,1752,1974,1210000,9/12/2024,Washoe,3,2
CONDOS,4901 Neil Rd,Reno,NV,89502,2,2,882,1970,255000,9/12/2024,Washoe,2,0
SINGLE_FAMILY,7737 Sonic Ct,Sparks,NV,89436,4,3,2387,2015,725000,9/12/2024,Washoe,1,3
SINGLE_FAMILY,9262 Atoll Dr,Reno,NV,89506,3,2.5,2387,2019,485000,9/12/2024,Washoe,2,2
SINGLE_FAMILY,7369 Sansol Dr,Sparks,NV,89436,3,2,1262,2001,505000,9/12/2024,Washoe,1,2
SINGLE_FAMILY,1289 Bon Rea Way,Reno,NV,89503,3,2,1750,1940,562000,9/11/2024,Washoe,1,0
SINGLE_FAMILY,6814 Pilot Peak Rd,Sparks,NV,89436,3,2.5,2759,2024,630000,9/11/2024,Washoe,2,3
SINGLE_FAMILY,2865 Downing Ct,Reno,NV,89523,3,2,1860,1995,735000,9/11/2024,Washoe,1,2
SINGLE_FAMILY,7432 Gannon Dr,Reno,NV,89506,3,2,1261,2001,420000,9/11/2024,Washoe,1,2
SINGLE_FAMILY,215 Neilson Rd,Reno,NV,89521,3,2,1442,1972,1475000,9/12/2024,Washoe,1,2
SINGLE_FAMILY,2202 Leathermans Dr,Reno,NV,89521,2,2.5,2279,2024,947995,9/11/2024,Washoe,1,3
SINGLE_FAMILY,10560 Dillingham Dr,Reno,NV,89521,5,3,3240,2005,900000,9/12/2024,Washoe,2,3
SINGLE_FAMILY,2750 Brass Spur Way,Sparks,NV,89436,3,2,1745,2001,525000,9/11/2024,Washoe,1,2
SINGLE_FAMILY,2833 Thistle Pine Ct,Reno,NV,89521,4,3,2556,2021,829000,9/11/2024,Washoe,2,3
SINGLE_FAMILY,6761 Peppergrass Dr,Sparks,NV,89436,3,2,1190,2018,417500,9/11/2024,Washoe,1,2
SINGLE_FAMILY,7163 Alamere Falls Way,Sparks,NV,89436,4,3.5,2675,2024,660953,9/11/2024,Washoe,2,3
SINGLE_FAMILY,4813 Ramcreek Trl,Reno,NV,89519,5,3,3165,1996,915000,9/11/2024,Washoe,2,3
SINGLE_FAMILY,7154 Alamere Falls Way,Sparks,NV,89436,4,3.5,2675,2024,660000,9/11/2024,Washoe,2,3
SINGLE_FAMILY,2075 Prince Way,Reno,NV,89503,4,2,1752,1970,475000,9/13/2024,Washoe,1,2
SINGLE_FAMILY,5005 Belgian Way,Reno,NV,89508,2,1.5,1456,2005,375000,9/10/2024,Washoe,1,2
SINGLE_FAMILY,1615 Sewell Dr,Reno,NV,89521,4,2,2068,2005,665000,9/10/2024,Washoe,1,3
SINGLE_FAMILY,247 River Flow Dr,Reno,NV,89523,5,3,3256,2000,708000,9/10/2024,Washoe,2,3
SINGLE_FAMILY,7030 Indigo Cir,Reno,NV,89506,3,2,1048,1985,360000,9/10/2024,Washoe,1,2
SINGLE_FAMILY,700 College Dr,Incline Village,NV,89451,3,2,1120,1978,745000,9/10/2024,Washoe,2,0
TOWNHOMES,3661 Mayberry Dr,Reno,NV,89509,3,3,2322,2003,620000,9/10/2024,Washoe,3,2
SINGLE_FAMILY,6110 S Pleasant Oak Trl,Reno,NV,89511,5,5.5,4143,2020,1770000,9/10/2024,Washoe,2,3
SINGLE_FAMILY,10412 Rockport Ln,Reno,NV,89521,3,2,1470,2000,525000,9/10/2024,Washoe,1,2
CONDOS,455 Lakeshore Blvd,Incline Village,NV,89451,2,2,1350,1970,2500000,9/10/2024,Washoe,0,0
SINGLE_FAMILY,410 Teramo Ct,Reno,NV,89521,5,3.5,3577,2006,820000,9/10/2024,Washoe,2,3
SINGLE_FAMILY,1878 Biotite Way,Sparks,NV,89436,4,2.5,1678,2024,495380,9/10/2024,Washoe,2,2
SINGLE_FAMILY,1213 Blue Lakes Rd,Reno,NV,89523,4,3,1564,1987,540000,9/10/2024,Washoe,2,2
SINGLE_FAMILY,604 Tumbleweed Cir,Incline Village,NV,89451,3,2,1740,1980,1600000,9/10/2024,Washoe,1,2
CONDOS,3128 Oakshire Ct,Reno,NV,89509,3,3,1331,1985,465000,9/10/2024,Washoe,2,2
SINGLE_FAMILY,2055 Meadowview Ln,Reno,NV,89509,3,3,2938,1979,1255000,9/10/2024,Washoe,1,2
TOWNHOMES,6120 Ingleston Dr,Sparks,NV,89436,3,2.5,1599,2002,417900,9/11/2024,Washoe,2,2
TOWNHOMES,2442 Tecumseh Way,Sparks,NV,89436,3,3.5,2195,2022,469990,9/10/2024,Washoe,3,2
SINGLE_FAMILY,5255 Wild Horse Rd,Reno,NV,89510,1,1,600,2019,415000,9/10/2024,Washoe,1,0
SINGLE_FAMILY,1460 W Huffaker Ln,Reno,NV,89511,4,3.5,3712,1990,3500000,9/10/2024,Washoe,1,4
